iter	Passed	Remaining
0	6	6157
1	12	6058
2	17	5651
3	21	5437
4	26	5328
5	31	5274
6	36	5193
7	41	5181
8	46	5123
9	51	5061
10	55	5022
11	60	4969
12	64	4895
13	68	4853
14	73	4800
15	77	4772
16	82	4747
17	87	4759
18	91	4726
19	95	4692
20	100	4683
21	104	4664
22	109	4632
23	112	4593
24	117	4570
25	121	4549
26	125	4529
27	130	4528
28	134	4517
29	139	4501
30	143	4482
31	148	4478
32	152	4468
33	156	4451
34	160	4438
35	165	4437
36	170	4436
37	175	4440
38	179	4434
39	184	4429
40	189	4423
41	193	4420
42	198	4409
43	202	4393
44	206	4383
45	210	4372
46	215	4369
47	220	4378
48	225	4383
49	230	4382
50	236	4391
51	240	4391
52	245	4389
53	250	4386
54	255	4383
55	259	4379
56	264	4377
57	270	4395
58	275	4393
59	280	4393
60	285	4400
61	290	4398
62	296	4404
63	301	4412
64	307	4429
65	313	4440
66	319	4443
67	324	4443
68	328	4434
69	333	4425
70	337	4418
71	342	4417
72	347	4411
73	351	4402
74	356	4399
75	361	4397
76	366	4391
77	371	4386
78	376	4384
79	380	4377
80	386	4384
81	391	4380
82	396	4375
83	400	4367
84	404	4358
85	409	4356
86	414	4353
87	419	4345
88	423	4339
89	428	4335
90	434	4335
91	438	4331
92	443	4328
93	448	4326
94	453	4317
95	458	4313
96	462	4308
97	467	4304
98	472	4299
99	477	4294
100	482	4295
101	487	4294
102	493	4295
103	497	4290
104	502	4283
105	507	4278
106	511	4270
107	516	4265
108	521	4262
109	526	4260
110	531	4253
111	536	4250
112	541	4247
113	545	4243
114	550	4237
115	556	4240
116	561	4237
117	566	4231
118	571	4228
119	576	4225
120	580	4219
121	586	4217
122	590	4213
123	595	4206
124	600	4205
125	604	4196
126	609	4191
127	614	4188
128	619	4185
129	624	4178
130	629	4172
131	633	4165
132	638	4159
133	642	4153
134	647	4149
135	651	4140
136	656	4135
137	661	4133
138	665	4125
139	670	4121
140	676	4120
141	681	4118
142	686	4114
143	692	4114
144	696	4107
145	701	4102
146	707	4103
147	711	4098
148	716	4092
149	721	4088
150	725	4081
151	730	4073
152	735	4069
153	740	4066
154	745	4064
155	750	4059
156	755	4055
157	760	4050
158	765	4046
159	770	4044
160	775	4039
161	779	4033
162	785	4033
